Hugo_Symbol	NTN006_Baseline	NTN007_Baseline	NTN012_Baseline	NTN014_Baseline	NTN017_Baseline	NTN020_Baseline	NTN021_Baseline	NTN022_Baseline	NTN023_Baseline	NTN025_Baseline	NTN029_Baseline	NTN031_Baseline	NTN033_Baseline	NTN038_Baseline	NTN042_Baseline	NTN040_Baseline	NTN046_Baseline	NTN049_Baseline	NTN052_Baseline	NTN050_Baseline	NTN057_Baseline	NTN056_Baseline	NTN058_Baseline	NTN060_Baseline	NTN062_Baseline	NTN063_Baseline	NTN069_Baseline	NTN074_Baseline	NTN076_Baseline	NTN080_Baseline	NTN081_Baseline	NTN083_Baseline	NTN084_Baseline	NTN085_Baseline	NTN087_Baseline	NTN089_Baseline	NTN039_Baseline	H36960.002_Baseline	H36960.023_Baseline	H36960.019_Baseline	H36960.008_Baseline	H36960.018_Baseline	H36960.009_Baseline	NTN011_Baseline	NTN013_Baseline	NTN044_Baseline	NTN072_Baseline	H36960.014_Baseline
TAS1R3	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
DVL1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIR6808	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MXRA8	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
AURKAIP1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
CCNL2	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC148413	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MRPL20	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ANKRD65	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TMEM88B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
VWA1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ATAD3C	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ATAD3B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
ATAD3A	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
SSU72	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TMEM240	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
C1orf233	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MIB2	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MMP23A	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MMP23B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
CDK11B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
SLC35E2B	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
CDK11A	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
SLC35E2	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
NADK	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	0	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
GNB1	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
CALML6	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
TMEM52	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
KIAA1751	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
GABRD	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PRKCZ	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
C1orf86	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
SKI	0	0	0	1	0	0	2	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
MORN1	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC100129534	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
RER1	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PEX10	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PLCH2	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
PANK4	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
HES5	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
LOC100133445	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	1	1	-1	1	0	-1	1	0	-1	0	0	0	0
